序号,库存组织,业务日期,单据类型,出入库类型,单据号,仓库,项目,物料编码,物料名称,物料版本,规格,型号,批次号,主单位,单位,换算率,入库主数量,入库数量,出库主数量,出库数量
34,二分部,2025-07-16,库存物料出库单,材料出库,IO202507165732,主仓库,项目0003,M00011,物料00011,V2.0,S6-36,X786,B020,EA,EA,1.0,0.0,0.0,126.298,126.298
35,总部,2025-09-03,库存采购入库单,普通采购入库,IO202509038939,主仓库,项目0004,M00027,物料00027,V3.0,S8-18,X878,B018,PCS,PCS,1.0,76.789,76.789,0.0,0.0
36,二分部,2025-11-18,库存物料出库单,材料出库,IO202511187703,项目仓,项目0008,M00014,物料00014,V2.0,S1-50,X510,B015,EA,EA,1.0,0.0,0.0,106.521,106.521
37,一分部,2025-07-16,库存采购入库单,普通采购入库,IO202507161505,主仓库,项目0005,M00002,物料00002,V2.0,S9-63,X325,B018,SET,SET,1.0,54.971,54.971,0.0,0.0
38,一分部,2025-07-17,库存物料出库单,材料出库,IO202507179115,项目仓,项目0009,M00004,物料00004,V2.0,S3-37,X881,B009,EA,EA,1.0,0.0,0.0,85.907,85.907
39,二分部,2025-09-05,库存采购入库单,普通采购入库,IO202509058231,项目仓,项目0004,M00014,物料00014,V2.0,S1-50,X510,B008,EA,EA,1.0,20.483,20.483,0.0,0.0
40,一分部,2025-06-12,库存物料出库单,材料出库,IO202506125305,备件仓,项目0002,M00015,物料00015,V2.0,S6-37,X771,B004,M,M,1.0,0.0,0.0,129.794,129.794
41,总部,2025-07-27,库存物料出库单,材料出库,IO202507278015,主仓库,项目0010,M00005,物料00005,V2.0,S7-22,X467,B007,SET,SET,1.0,0.0,0.0,117.727,117.727
42,总部,2025-10-27,库存物料出库单,材料出库,IO202510279720,备件仓,项目0010,M00018,物料00018,V1.0,S9-73,X193,B010,EA,EA,1.0,0.0,0.0,25.257,25.257
43,一分部,2025-10-28,库存物料出库单,材料出库,IO202510289428,项目仓,项目0002,M00005,物料00005,V2.0,S7-22,X467,B014,SET,SET,1.0,0.0,0.0,144.416,144.416
44,总部,2025-08-13,库存采购入库单,普通采购入库,IO202508133174,主仓库,项目0003,M00023,物料00023,V1.0,S9-32,X619,B008,KG,KG,1.0,64.419,64.419,0.0,0.0
45,二分部,2025-09-12,库存物料出库单,材料出库,IO202509123329,项目仓,项目0011,M00009,物料00009,V1.0,S2-39,X987,B013,M,M,1.0,0.0,0.0,94.172,94.172
46,一分部,2025-06-23,库存采购入库单,普通采购入库,IO202506237600,项目仓,项目0012,M00009,物料00009,V1.0,S2-39,X987,B012,M,M,1.0,138.941,138.941,0.0,0.0
47,一分部,2025-10-06,库存物料出库单,材料出库,IO202510061040,项目仓,项目0002,M00024,物料00024,V1.0,S3-57,X880,B012,SET,SET,1.0,0.0,0.0,145.823,145.823
48,总部,2025-10-18,库存物料出库单,材料出库,IO202510184568,备件仓,项目0004,M00016,物料00016,V1.0,S3-43,X242,B010,SET,SET,1.0,0.0,0.0,40.281,40.281
49,一分部,2025-10-22,库存采购入库单,普通采购入库,IO202510228951,备件仓,项目0011,M00025,物料00025,V1.0,S6-72,X119,B004,KG,KG,1.0,9.682,9.682,0.0,0.0
50,二分部,2025-09-29,库存采购入库单,普通采购入库,IO202509293035,主仓库,项目0008,M00015,物料00015,V2.0,S6-37,X771,B014,M,M,1.0,0.135,0.135,0.0,0.0
51,总部,2025-11-27,库存采购入库单,普通采购入库,IO202511275945,主仓库,项目0005,M00003,物料00003,V2.0,S1-30,X814,B009,KG,KG,1.0,130.918,130.918,0.0,0.0
52,总部,2025-09-07,库存采购入库单,普通采购入库,IO202509071848,备件仓,项目0011,M00010,物料00010,V2.0,S8-91,X954,B008,PCS,PCS,1.0,145.198,145.198,0.0,0.0
53,一分部,2025-11-18,库存采购入库单,普通采购入库,IO202511182559,主仓库,项目0004,M00016,物料00016,V1.0,S3-43,X242,B019,SET,SET,1.0,15.588,15.588,0.0,0.0
54,总部,2025-10-14,库存物料出库单,材料出库,IO202510141152,主仓库,项目0012,M00011,物料00011,V2.0,S6-36,X786,B014,EA,EA,1.0,0.0,0.0,122.566,122.566
55,二分部,2025-07-07,库存物料出库单,材料出库,IO202507072160,主仓库,项目0007,M00003,物料00003,V2.0,S1-30,X814,B004,KG,KG,1.0,0.0,0.0,109.615,109.615
56,总部,2025-08-23,库存物料出库单,材料出库,IO202508235902,主仓库,项目0007,M00025,物料00025,V1.0,S6-72,X119,B005,KG,KG,1.0,0.0,0.0,122.005,122.005
57,二分部,2025-11-24,库存采购入库单,普通采购入库,IO202511242120,项目仓,项目0010,M00001,物料00001,V3.0,S4-39,X617,B006,EA,EA,1.0,122.064,122.064,0.0,0.0
58,一分部,2025-09-01,库存采购入库单,普通采购入库,IO202509013480,备件仓,项目0010,M00022,物料00022,V2.0,S5-65,X261,B007,EA,EA,1.0,88.477,88.477,0.0,0.0
59,总部,2025-06-29,库存采购入库单,普通采购入库,IO202506293017,项目仓,项目0012,M00013,物料00013,V2.0,S9-38,X801,B014,EA,EA,1.0,70.307,70.307,0.0,0.0
60,一分部,2025-07-09,库存采购入库单,普通采购入库,IO202507095537,项目仓,项目0002,M00008,物料00008,V3.0,S4-18,X146,B020,PCS,PCS,1.0,110.679,110.679,0.0,0.0
61,二分部,2025-11-06,库存物料出库单,材料出库,IO202511061439,项目仓,项目0005,M00007,物料00007,V3.0,S9-47,X949,B017,SET,SET,1.0,0.0,0.0,77.662,77.662
62,总部,2025-12-12,库存物料出库单,材料出库,IO202512125842,项目仓,项目0001,M00026,物料00026,V3.0,S4-17,X346,B008,EA,EA,1.0,0.0,0.0,134.687,134.687
63,一分部,2025-09-10,库存采购入库单,普通采购入库,IO202509104949,备件仓,项目0011,M00020,物料00020,V3.0,S7-86,X579,B001,KG,KG,1.0,14.202,14.202,0.0,0.0
64,一分部,2025-08-24,库存采购入库单,普通采购入库,IO202508247337,项目仓,项目0007,M00012,物料00012,V2.0,S9-41,X267,B006,M,M,1.0,109.271,109.271,0.0,0.0
65,一分部,2025-12-18,库存采购入库单,普通采购入库,IO202512181273,项目仓,项目0002,M00001,物料00001,V3.0,S4-39,X617,B002,EA,EA,1.0,52.437,52.437,0.0,0.0
66,总部,2025-09-13,库存物料出库单,材料出库,IO202509139209,备件仓,项目0007,M00023,物料00023,V1.0,S9-32,X619,B018,KG,KG,1.0,0.0,0.0,60.342,60.342
67,二分部,2025-11-08,库存采购入库单,普通采购入库,IO202511085546,主仓库,项目0005,M00003,物料00003,V2.0,S1-30,X814,B007,KG,KG,1.0,102.261,102.261,0.0,0.0
68,总部,2025-10-19,库存物料出库单,材料出库,IO202510197401,项目仓,项目0011,M00025,物料00025,V1.0,S6-72,X119,B003,KG,KG,1.0,0.0,0.0,125.179,125.179
69,一分部,2025-11-29,库存物料出库单,材料出库,IO202511294909,主仓库,项目0004,M00003,物料00003,V2.0,S1-30,X814,B004,KG,KG,1.0,0.0,0.0,138.694,138.694
70,一分部,2025-11-07,库存采购入库单,普通采购入库,IO202511076067,项目仓,项目0012,M00022,物料00022,V2.0,S5-65,X261,B004,EA,EA,1.0,148.132,148.132,0.0,0.0
71,总部,2025-12-02,库存采购入库单,普通采购入库,IO202512021185,主仓库,项目0008,M00012,物料00012,V2.0,S9-41,X267,B009,M,M,1.0,104.601,104.601,0.0,0.0
72,总部,2025-09-07,库存采购入库单,普通采购入库,IO202509075403,项目仓,项目0002,M00025,物料00025,V1.0,S6-72,X119,B011,KG,KG,1.0,179.979,179.979,0.0,0.0
73,一分部,2025-08-12,库存采购入库单,普通采购入库,IO202508125308,项目仓,项目0010,M00021,物料00021,V2.0,S2-97,X649,B015,KG,KG,1.0,15.414,15.414,0.0,0.0
74,二分部,2025-09-04,库存采购入库单,普通采购入库,IO202509049185,项目仓,项目0003,M00012,物料00012,V2.0,S9-41,X267,B004,M,M,1.0,31.462,31.462,0.0,0.0
75,二分部,2025-11-23,库存采购入库单,普通采购入库,IO202511234742,项目仓,项目0009,M00001,物料00001,V3.0,S4-39,X617,B001,EA,EA,1.0,8.808,8.808,0.0,0.0
76,总部,2025-06-15,库存物料出库单,材料出库,IO202506156963,备件仓,项目0003,M00006,物料00006,V1.0,S1-68,X649,B002,M,M,1.0,0.0,0.0,139.674,139.674
77,二分部,2025-12-03,库存物料出库单,材料出库,IO202512034678,备件仓,项目0004,M00014,物料00014,V2.0,S1-50,X510,B011,EA,EA,1.0,0.0,0.0,137.378,137.378
78,一分部,2025-06-23,库存物料出库单,材料出库,IO202506232956,项目仓,项目0011,M00029,物料00029,V3.0,S4-79,X873,B008,PCS,PCS,1.0,0.0,0.0,7.901,7.901
79,二分部,2025-06-15,库存物料出库单,材料出库,IO202506152129,备件仓,项目0005,M00025,物料00025,V1.0,S6-72,X119,B011,KG,KG,1.0,0.0,0.0,126.727,126.727
80,总部,2025-10-23,库存物料出库单,材料出库,IO202510231130,备件仓,项目0004,M00010,物料00010,V2.0,S8-91,X954,B010,PCS,PCS,1.0,0.0,0.0,84.571,84.571
81,二分部,2025-11-10,库存采购入库单,普通采购入库,IO202511108600,备件仓,项目0010,M00016,物料00016,V1.0,S3-43,X242,B007,SET,SET,1.0,199.557,199.557,0.0,0.0
82,二分部,2025-10-21,库存采购入库单,普通采购入库,IO202510213466,主仓库,项目0007,M00001,物料00001,V3.0,S4-39,X617,B012,EA,EA,1.0,46.6,46.6,0.0,0.0
83,二分部,2025-11-28,库存采购入库单,普通采购入库,IO202511286488,主仓库,项目0011,M00013,物料00013,V2.0,S9-38,X801,B010,EA,EA,1.0,169.801,169.801,0.0,0.0
84,总部,2025-07-26,库存采购入库单,普通采购入库,IO202507267878,备件仓,项目0001,M00005,物料00005,V2.0,S7-22,X467,B003,SET,SET,1.0,142.33,142.33,0.0,0.0
85,总部,2025-08-02,库存物料出库单,材料出库,IO202508027102,备件仓,项目0012,M00003,物料00003,V2.0,S1-30,X814,B017,KG,KG,1.0,0.0,0.0,87.116,87.116
86,总部,2025-11-14,库存物料出库单,材料出库,IO202511142226,项目仓,项目0010,M00002,物料00002,V2.0,S9-63,X325,B005,SET,SET,1.0,0.0,0.0,65.247,65.247
87,总部,2025-08-17,库存物料出库单,材料出库,IO202508176161,备件仓,项目0012,M00027,物料00027,V3.0,S8-18,X878,B011,PCS,PCS,1.0,0.0,0.0,110.303,110.303
88,一分部,2025-08-12,库存采购入库单,普通采购入库,IO202508122223,主仓库,项目0003,M00025,物料00025,V1.0,S6-72,X119,B004,KG,KG,1.0,154.029,154.029,0.0,0.0
89,总部,2025-07-01,库存采购入库单,普通采购入库,IO202507018365,备件仓,项目0006,M00014,物料00014,V2.0,S1-50,X510,B012,EA,EA,1.0,24.147,24.147,0.0,0.0
90,总部,2025-09-27,库存物料出库单,材料出库,IO202509278591,备件仓,项目0002,M00003,物料00003,V2.0,S1-30,X814,B010,KG,KG,1.0,0.0,0.0,23.642,23.642
91,二分部,2025-11-29,库存采购入库单,普通采购入库,IO202511294522,备件仓,项目0003,M00003,物料00003,V2.0,S1-30,X814,B012,KG,KG,1.0,142.231,142.231,0.0,0.0
92,一分部,2025-10-13,库存采购入库单,普通采购入库,IO202510135896,备件仓,项目0003,M00001,物料00001,V3.0,S4-39,X617,B015,EA,EA,1.0,190.419,190.419,0.0,0.0
93,二分部,2025-12-12,库存采购入库单,普通采购入库,IO202512122551,备件仓,项目0002,M00026,物料00026,V3.0,S4-17,X346,B004,EA,EA,1.0,158.762,158.762,0.0,0.0
94,总部,2025-06-19,库存采购入库单,普通采购入库,IO202506193141,主仓库,项目0007,M00012,物料00012,V2.0,S9-41,X267,B003,M,M,1.0,137.257,137.257,0.0,0.0
95,二分部,2025-11-01,库存物料出库单,材料出库,IO202511012228,主仓库,项目0002,M00007,物料00007,V3.0,S9-47,X949,B015,SET,SET,1.0,0.0,0.0,135.374,135.374
96,总部,2025-06-27,库存物料出库单,材料出库,IO202506273007,主仓库,项目0008,M00002,物料00002,V2.0,S9-63,X325,B019,SET,SET,1.0,0.0,0.0,25.198,25.198
97,一分部,2025-12-06,库存物料出库单,材料出库,IO202512069128,主仓库,项目0007,M00022,物料00022,V2.0,S5-65,X261,B012,EA,EA,1.0,0.0,0.0,64.0,64.0
98,总部,2025-07-21,库存物料出库单,材料出库,IO202507215585,备件仓,项目0003,M00002,物料00002,V2.0,S9-63,X325,B020,SET,SET,1.0,0.0,0.0,92.116,92.116
99,总部,2025-11-16,库存物料出库单,材料出库,IO202511169173,备件仓,项目0009,M00016,物料00016,V1.0,S3-43,X242,B009,SET,SET,1.0,0.0,0.0,9.147,9.147
100,一分部,2025-07-09,库存物料出库单,材料出库,IO202507094267,项目仓,项目0009,M00008,物料00008,V3.0,S4-18,X146,B018,PCS,PCS,1.0,0.0,0.0,94.613,94.613
